PLAYER,POS,GROUP,STATUS,FCHL TEAM,NHL TEAM,AGE,SALARY,BID,PTS,PRIOR FCHL TEAM
Kris Letang,D,3,,UFA,PIT,40,0.9,0,31,
Philip Broberg,D,3,START,JHN,STL,26,1.2,0,35,
Alex Killorn,F,3,,UFA,ANA,38,0.6,0,30,
Marat Khusnutdinov,F,3,,UFA,BOS,25,0.0,0,30,
Alexander Nikishin,D,C,MINOR,SRL,CAR,25,0.6,0,37,
Conor Garland,F,3,,UFA,CBJ,31,0.6,0,42,
Cole Sillinger,F,C,MINOR,LPT,CBJ,24,0.5,0,35,
Sam Steel,F,3,,UFA,DAL,29,0.8,0,29,
Casey DeSmith,G,3,,UFA,DAL,36,0.5,0,29,
Eetu Luostarinen,F,3,,UFA,FLA,29,0.0,0,33,
Andre Burakovsky,F,3,,UFA,OTT,32,0.5,0,33,
Fabian Zetterlund,F,3,,UFA,OTT,28,0.0,0,32,
Gage Goncalves,F,3,,UFA,TBL,26,0.5,0,39,
A.J. Greer,F,3,,UFA,ANA,30,0.0,0,22,
Dmitri Voronkov,F,3,START,JHN,CBJ,27,0.5,0,41,
Damon Severson,D,3,,UFA,CBJ,33,0.5,0,30,
Esa Lindell,D,3,,UFA,DAL,33,0.5,0,26,
Frederik Andersen,G,3,,UFA,EDM,37,0.6,0,32,
Seth Jones,D,3,,UFA,FLA,32,2.5,0,35,
Trevor Moore,F,3,,UFA,LAK,32,0.7,0,36,
Oliver Bjorkstrand,F,3,START,MAC,NYR,32,0.5,0,40,
Jamie Drysdale,D,RFA2,,RFA,PHI,25,0.6,0,36,VPP
Nicholas Robertson,F,3,,UFA,PIT,26,0.5,0,41,
Mackie Samoskevich,F,B,MINOR,ZSK,SEA,24,0.5,0,41,
Brandon Montour,D,3,,UFA,SEA,33,1.7,0,34,
Cole Perfetti,F,C,MINOR,VPP,WPG,25,1.3,0,46,
Sean Walker,D,3,,UFA,CAR,32,0.5,0,27,
Josh Manson,D,3,,UFA,COL,35,0.5,0,20,
Denton Mateychuk,D,A,MINOR,JHN,CBJ,23,0.5,0,35,
Ivan Provorov,D,3,,UFA,CBJ,30,0.5,0,32,
Elvis Merzlikins,G,3,,UFA,CBJ,33,1.2,0,25,
Jonathan Marchessault,F,3,,UFA,NSH,36,0.8,0,41,
Arseny Gritsyuk,F,3,,UFA,NJD,26,0.0,0,38,
Evan Rodrigues,F,3,,UFA,NJD,34,1.0,0,34,
Emil Heineman,F,3,,UFA,NYI,25,0.0,0,39,
Joonas Korpisalo,G,3,,UFA,NYR,33,0.9,0,19,
Thomas Chabot,D,2,START,JHN,OTT,30,3.2,0,34,
Jordan Spence,D,3,START,SHF,OTT,26,0.5,0,35,
Michael Carcone,F,3,,UFA,UTA,31,0.0,0,29,
Victor Olofsson,F,3,,UFA,VGK,32,1.1,0,32,
Ryan Donato,F,3,,UFA,CHI,31,0.8,0,36,
Justin Hryckowian,F,3,,UFA,DAL,26,0.0,0,37,
Emmitt Finnie,F,3,,UFA,DET,22,0.0,0,33,
Bobby Brink,F,3,,UFA,MIN,26,0.5,0,38,
Zachary Bolduc,F,B,MINOR,LGN,MTL,24,0.5,0,35,
Matthew Wood,F,A,MINOR,VPP,NSH,22,0.5,0,35,
Calum Ritchie,F,A,MINOR,JHN,NYI,22,0.5,0,39,
Artem Zub,D,3,,UFA,OTT,31,0.5,0,28,
Connor Dewar,F,3,,UFA,PIT,28,0.0,0,23,
Cam Fowler,D,3,,UFA,STL,35,0.5,0,32,
Parker Wotherspoon,D,3,,UFA,VGK,30,0.0,0,19,
Owen Power,D,B,MINOR,LGN,BUF,24,0.9,0,42,
Yegor Sharangovich,F,3,,UFA,CGY,29,0.7,0,35,
Jordan Martinook,F,3,,UFA,CAR,35,1.5,0,28,
Ryan Greene,F,3,,UFA,CHI,23,0.0,0,30,
Pius Suter,F,3,,UFA,STL,31,0.0,0,31,
Jordan Binnington,G,3,,UFA,STL,34,0.5,0,35,
J.J. Moser,D,3,START,GVR,TBL,27,0.5,0,25,
Easton Cowan,F,A,MINOR,BOT,TOR,22,0.5,0,40,
Rasmus Sandin,D,3,,UFA,WSH,27,0.8,0,26,
Alex Iafallo,F,3,,UFA,WPG,33,0.5,0,29,
J.T. Compher,F,3,,UFA,DET,32,0.6,0,27,
Gustav Forsling,D,3,,UFA,FLA,31,1.0,0,28,
Samuel Ersson,G,3,,UFA,OTT,27,0.5,0,29,
Yanni Gourde,F,3,,UFA,TBL,35,0.5,0,28,
MacKenzie Weegar,D,3,,UFA,UTA,33,2.4,0,33,
Noah Hanifin,D,3,,UFA,VGK,30,2.2,0,39,
Anthony Beauvillier,F,3,,UFA,WSH,30,0.5,0,25,
Noah Ostlund,F,A,MINOR,ZSK,BUF,23,0.5,0,31,
Danila Yurov,F,A,MINOR,JHN,MIN,23,0.5,0,33,
Jack Drury,F,3,,UFA,NSH,27,0.5,0,28,
Anthony Duclair,F,3,,UFA,NYI,32,0.6,0,31,
Ryan Pulock,D,3,,UFA,NYI,32,0.5,0,21,
Gabe Perreault,F,A,MINOR,BOT,NYR,22,0.5,0,52,
Sean Durzi,D,3,,UFA,NYR,28,1.0,0,33,
Shane Wright,F,A,MINOR,BOT,SEA,23,0.9,0,41,
Martin Fehervary,D,3,,UFA,WSH,27,0.0,0,24,
Hampus Lindholm,D,3,,UFA,BOS,33,1.1,0,23,
Mason Lohrei,D,3,,UFA,BOS,26,0.5,0,26,
Simon Nemec,D,A,MINOR,VPP,CGY,23,0.8,0,46,
Jaden Schwartz,F,3,,UFA,COL,35,0.5,0,34,
Mathieu Olivier,F,3,,UFA,CBJ,30,0.0,0,24,
Daniil Tarasov,G,F,MINOR,ZSK,DET,28,0.5,0,36,
Aaron Ekblad,D,3,,UFA,FLA,31,1.6,0,28,
Brady Skjei,D,3,,UFA,NSH,33,0.9,0,29,
Cody Glass,F,3,,UFA,NJD,28,0.5,0,28,
Cam York,D,3,START,JHN,PHI,26,0.5,0,29,
Philipp Grubauer,G,3,,UFA,SEA,35,2.2,0,33,
Zeev Buium,D,A,MINOR,LGN,VAN,21,0.7,0,32,
Braeden Bowman,F,3,,UFA,VGK,24,0.0,0,35,
Louis Crevier,D,3,,UFA,BUF,26,0.0,0,16,
Jonathan Huberdeau,F,3,START,MAC,CGY,34,0.5,0,48,
Connor Zary,F,C,MINOR,SRL,CGY,25,0.5,0,43,
Nicolas Roy,F,3,,UFA,COL,30,0.5,0,29,
Simon Edvinsson,D,B,MINOR,LGN,DET,24,0.5,0,28,
Joel Armia,F,3,,UFA,LAK,34,0.6,0,21,
Alex Newhook,F,3,,UFA,MTL,26,0.5,0,44,
Noel Acciari,F,3,,UFA,PHI,35,0.0,0,15,
Andrei Kuzmenko,F,3,,UFA,PIT,31,0.6,0,34,
Adam Gaudette,F,3,,UFA,SJS,30,0.0,0,18,
Adam Larsson,D,3,,UFA,SEA,34,0.5,0,25,
Jake McCabe,D,3,,UFA,TOR,33,0.0,0,23,
Barrett Hayton,F,3,,UFA,UTA,27,0.8,0,36,
Jack McBain,F,3,,UFA,UTA,27,0.0,0,27,
Artyom Levshunov,D,A,MINOR,JHN,CHI,21,0.8,0,30,
Devon Toews,D,3,START,VPP,COL,33,2.4,0,29,
Jake Evans,F,3,,UFA,MTL,31,0.0,0,27,
Ross Colton,F,3,,UFA,NSH,31,0.5,0,28,
Noah Laba,F,3,,UFA,NYR,24,0.0,0,26,
Darnell Nurse,D,3,,UFA,SJS,32,0.8,0,30,
Eric Comrie,G,3,,UFA,SJS,32,0.0,0,0,
Ethen Frank,F,3,,UFA,WSH,29,0.0,0,16,
Ian Cole,D,3,,UFA,CHI,38,0.6,0,15,
Drew Doughty,D,3,,UFA,LAK,37,1.6,0,25,
Joel Edmundson,D,3,,UFA,LAK,34,0.0,0,16,
Yakov Trenin,F,3,,UFA,MIN,30,0.0,0,18,
Josh Anderson,F,3,,UFA,MTL,33,0.0,0,19,
Justus Annunen,G,E,MINOR,LPT,NSH,27,0.5,0,25,
Nick Cousins,F,3,,UFA,OTT,34,0.0,0,19,
Kailer Yamamoto,F,3,,UFA,UTA,28,0.0,0,27,
