PLAYER,POS,GROUP,STATUS,FCHL TEAM,NHL TEAM,AGE,SALARY,BID,PTS,PRIOR FCHL TEAM
Michael Amadio,F,3,,UFA,OTT,29,0,0,29,
Jack Mcbain,F,3,,UFA,UTA,25,0,0,32,
Nic Dowd,F,3,,UFA,WSH,35,0,0,26,
Tanner Pearson,F,3,,UFA,WPG,33,0,0,26,
Peyton Krebs,F,C,MINOR,BOT,BUF,24,0.5,0,28,
Dante Fabbro,D,3,,UFA,CBJ,27,0,0,28,
Esa Lindell,D,3,,UFA,DAL,31,0,0,26,
Ryan Hartman,F,3,,UFA,MIN,30,0,0,32,
Alex Newhook,F,3,,UFA,MTL,24,0,0,39,
Adam Gaudette,F,3,,UFA,SJS,28,0,0,25,
Jordan Eberle,F,3,,UFA,SEA,35,0,0,42,
Teddy Blueger,F,3,,UFA,VAN,31,0,0,26,
Filip Chytil,F,2,START,LPT,VAN,26,0.9,0,39,
Joel Farabee,F,3,,UFA,CGY,25,0,0,38,
Martin Pospisil,F,3,,UFA,CGY,25,0,0,29,
Damon Severson,D,3,,UFA,CBJ,31,0,0,29,
Mavrik Bourque,F,B,MINOR,VPP,DAL,23,0.5,0,32,
Frank Nazar,F,A,MINOR,BOT,CHI,21,0.5,0,46,
Sam Steel,F,3,,UFA,DAL,27,0,0,26,
Brett Kulak,D,3,,UFA,EDM,31,0,0,23,
Alex Turcotte,F,C,MINOR,JHN,LAK,24,0.8,0,28,
Alexandre Carrier,D,3,,UFA,MTL,28,0,0,22,
Leevi Merilainen,G,B,MINOR,LGN,OTT,23,0.5,0,43,
Ryker Evans,D,3,,UFA,SEA,23,0,0,25,
Nils Hoglander,F,C,MINOR,HSM,VAN,24,0.5,0,29,
Drew O'Connor,F,3,,UFA,VAN,27,0,0,26,
Anthony Beauvillier,F,3,,UFA,WSH,28,0,0,28,
Martin Fehervary,D,3,,UFA,WSH,25,0,0,22,
Jiri Kulich,F,A,MINOR,LGN,BUF,21,0.6,0,43,
Samuel Girard,D,3,,UFA,COL,27,0,0,27,
Jonatan Berggren,F,3,,UFA,DET,25,0,0,32,
Vasily Podkolzin,F,C,MINOR,BOT,EDM,24,0.5,0,30,
Eetu Luostarinen,F,3,,UFA,FLA,27,0,0,30,
Mikey Anderson,D,3,,UFA,LAK,26,0,0,24,
