"PLAYERS","DFG","BOT                               ENT                               GVR                               HSM                               JHN                               LGN                               LPT                               MAC                               RFA                               SHF                               SRL                               UFA                               VPP                               ZSK","ANA                               BOS                               BUF                               CAR                               CBJ                               CGY                               CHI                               COL                               DAL                               DET                               EDM                               FLA                               LAK                               MIN                               MTL                               NJD                               NSH                               NYI                               NYR                               OTT                               PHI                               PIT                               SEA                               SJS                               STL                               TBL                               TOR                               UFA                               UTA                               VAN                               VGK                               WPG                               WSH","Age","Cap","GP","Pts","PPG"
"Matias Maccelli                                3","F","UFA","NYI","26","$0.5","71","39","0.5"
"Brayden Schenn                                3","F","UFA","NYI","36","$0.6","80","39","0.5"
"Oliver Ekman-Larsson                                3","D","UFA","TOR","36","$0.6","78","39","0.5"
"Shea Theodore                                3","D","UFA","VGK","32","$3.2","70","39","0.6"
"Joel Farabee                                3","F","UFA","CGY","27","$0.5","82","38","0.5"
"Akira Schmid                                3","G","JHN","FLA","27","$0.6","34","38","1.1"
"Erik Haula                                3","F","UFA","LAK","36","$0.6","81","38","0.5"
"Dougie Hamilton                                3","D","UFA","NJD","34","$2.0","77","38","0.5"
"Will Cuylle                                3","F","UFA","NYR","25","$0.6","82","38","0.5"
"Boone Jenner                                3","F","UFA","WSH","34","$0.5","67","38","0.6"
"Vasily Podkolzin                                RFA1","F","'RFA'","EDM","26","$0.5","82","37","0.5"
"Matt Savoie                                A","F","VPP","EDM","23","$0.8","82","37","0.5"
"Corey Perry                                3","F","UFA","LAK","42","$0.6","72","37","0.5"
"Oliver Kapanen                                3","F","UFA","MTL","24","$0.0","82","37","0.5"
"Mike Matheson                                3","D","UFA","MTL","33","$0.8","78","37","0.5"
"Jake Allen                                3","G","UFA","NJD","37","$0.6","37","37","1.0"
"Travis Sanheim                                3","D","UFA","PHI","31","$1.0","81","37","0.5"
"Dmitry Orlov                                3","D","UFA","SJS","36","$0.5","82","37","0.5"
"Ryan Poehling                                3","F","UFA","ANA","28","$0.5","75","36","0.5"
"Jordan Staal                                3","F","UFA","CAR","39","$0.7","75","36","0.5"
"Sean Monahan                                3","F","UFA","CBJ","32","$1.2","78","36","0.5"
"Jamie Benn                                3","F","UFA","DAL","38","$0.8","60","36","0.6"
"Thomas Harley                                RFA1","D","'RFA'","DAL","26","$1.4","70","36","0.5"
"Sean Couturier                                3","F","UFA","PHI","34","$0.5","78","36","0.5"
"Joseph Woll                                3","G","UFA","PHI","29","$1.2","39","36","0.9"
"Kiefer Sherwood                                3","F","UFA","SJS","32","$0.6","72","36","0.5"
"Alex Nedeljkovic                                3","G","UFA","SJS","31","$0.0","40","36","0.9"
"Jake Neighbours                                C","F","LPT","STL","25","$0.6","69","36","0.5"
"Ilya Mikheyev                                3","F","UFA","TBL","32","$0.9","77","36","0.5"
"Jack Roslovic                                3","F","UFA","TOR","30","$1.4","69","36","0.5"
"Morgan Rielly                                3","D","UFA","TOR","33","$3.2","78","36","0.5"
