"PLAYERS","DFG","BOT                               ENT                               GVR                               HSM                               JHN                               LGN                               LPT                               MAC                               RFA                               SHF                               SRL                               UFA                               VPP                               ZSK","ANA                               BOS                               BUF                               CAR                               CBJ                               CGY                               CHI                               COL                               DAL                               DET                               EDM                               FLA                               LAK                               MIN                               MTL                               NJD                               NSH                               NYI                               NYR                               OTT                               PHI                               PIT                               SEA                               SJS                               STL                               TBL                               TOR                               UFA                               UTA                               VAN                               VGK                               WPG                               WSH","Age","Cap","GP","Pts","PPG"
"Julius Sumpf                                A","F","ENT","CHI","22","$0.0","0","0","0.0"
"Xavier Villeneuve                                A","D","ENT","CHI","19","$0.0","0","0","0.0"
"Mason West                                A","F","ENT","CHI","20","$0.0","0","0","0.0"
"Alexander Ivanov                                A","D","ENT","CHI","19","$0.0","0","0","0.0"
"Ilya Kanarsky                                A","G","ENT","CHI","22","$0.0","0","0","0.0"
"Janne Peltonen                                A","D","ENT","CHI","22","$0.0","0","0","0.0"
"William Sorbrand                                A","F","ENT","CHI","19","$0.0","0","0","0.0"
"Joel Svensson                                A","F","ENT","CHI","22","$0.0","0","0","0.0"
"Ryan Ellis                                3","D","UFA","CHI","36","$2.2","0","0","0.0"
"Zachary L`Heureux                                3","F","UFA","COL","24","$0.0","0","0","0.0"
"Logan O`Connor                                3","F","UFA","COL","31","$0.0","0","0","0.0"
"Wyatt Aamodt                                3","D","UFA","COL","29","$0.0","0","0","0.0"
"Adam Beckman                                3","F","UFA","COL","26","$0.0","0","0","0.0"
"Sean Behrens                                3","D","UFA","COL","24","$0.0","0","0","0.0"
"Matthew DiMarsico                                A","F","ENT","COL","23","$0.0","0","0","0.0"
"Domenick Fensore                                3","D","UFA","COL","26","$0.0","1","0","0.0"
"Alex Gagne                                3","D","UFA","COL","25","$0.0","0","0","0.0"
"Cooper Gay                                3","F","UFA","COL","25","$0.0","0","0","0.0"
"T.J. Hughes                                3","F","UFA","COL","25","$0.0","0","0","0.0"
"Fabian Lysell                                B","F","LGN","COL","24","$0.5","0","0","0.0"
"Taylor Makar                                3","F","UFA","COL","26","$0.0","12","0","0.0"
"Georgii Merkulov                                3","F","UFA","COL","26","$0.0","1","0","0.0"
"Ilya Nabokov                                B","G","LPT","COL","24","$0.5","0","0","0.0"
"Nikita Novosyolov                                A","G","ENT","COL","23","$0.0","0","0","0.0"
"Nikita Prishchepov                                3","F","UFA","COL","23","$0.0","0","0","0.0"
"Gustav Stjernberg                                3","D","UFA","COL","24","$0.0","0","0","0.0"
"Saige Weinstein                                A","D","ENT","COL","22","$0.0","0","0","0.0"
"Christian Wolanin                                3","D","UFA","COL","32","$0.0","0","0","0.0"
"Sampo Ranta                                3","F","UFA","COL","27","$0.0","0","0","0.0"
"Shawn Carrier                                A","F","ENT","COL","20","$0.0","0","0","0.0"
"Linus Funck                                A","D","ENT","COL","20","$0.0","0","0","0.0"
"Beckett Hamilton                                A","F","ENT","COL","19","$0.0","0","0","0.0"
"Theodore Lechner                                A","D","ENT","COL","19","$0.0","0","0","0.0"
"Alexandre Raymond                                A","G","ENT","COL","19","$0.0","0","0","0.0"
"Ondrej Ruml                                A","D","ENT","COL","19","$0.0","0","0","0.0"
"Egor Shilov                                A","F","ENT","COL","19","$0.0","0","0","0.0"
"Tobias Tvrznik                                A","G","ENT","COL","20","$0.0","0","0","0.0"
"Louka Cloutier                                A","G","ENT","COL","21","$0.0","0","0","0.0"
"Francesco Dell`Elce                                A","D","ENT","COL","22","$0.0","0","0","0.0"
"Jake Fisher                                A","F","ENT","COL","22","$0.0","0","0","0.0"
"Christian Humphreys                                A","F","ENT","COL","21","$0.0","0","0","0.0"
"Tory Pitner                                A","D","ENT","COL","21","$0.0","0","0","0.0"
"Nolan Roed                                A","F","ENT","COL","21","$0.0","0","0","0.0"
"Chris Romaine                                A","D","ENT","COL","23","$0.0","0","0","0.0"
"Cole Tuminaro                                A","D","ENT","COL","20","$0.0","0","0","0.0"
"Andrei Buyalsky                                3","F","UFA","COL","27","$0.0","0","0","0.0"
"Axel Elofsson                                A","D","ENT","COL","19","$0.0","0","0","0.0"
"Mikhail Gulyayev                                A","D","ENT","COL","22","$0.0","0","0","0.0"
"Nikita Ishimnikov                                A","D","ENT","COL","22","$0.0","0","0","0.0"
"Shamil Shmakov                                3","G","UFA","COL","28","$0.0","0","0","0.0"
"Ivan Yunin                                A","G","ENT","COL","21","$0.0","0","0","0.0"
"Riley Bezeau                                3","F","UFA","CBJ","25","$0.0","0","0","0.0"
"Boston Buckberger                                3","D","UFA","CBJ","24","$0.0","0","0","0.0"
"Corson Ceulemans                                3","D","UFA","CBJ","24","$0.0","0","0","0.0"
"Pheonix Copley                                3","G","UFA","CBJ","35","$0.7","1","0","0.0"
"Jordan Dumais                                A","F","BOT","CBJ","23","$0.5","0","0","0.0"
"Josh Eernisse                                3","F","UFA","CBJ","25","$0.0","0","0","0.0"
"Charlie Elick                                A","D","ENT","CBJ","21","$0.0","0","0","0.0"
"Evan Gardner                                A","G","ENT","CBJ","21","$0.0","0","0","0.0"
"Oiva Keskinen                                A","F","ENT","CBJ","23","$0.0","0","0","0.0"
"Nolan Lalonde                                A","G","ENT","CBJ","23","$0.0","0","0","0.0"
"Caleb MacDonald                                3","D","UFA","CBJ","24","$0.0","0","0","0.0"
"James Malatesta                                3","F","UFA","CBJ","24","$0.0","0","0","0.0"
"Luca Marrelli                                A","D","ENT","CBJ","21","$0.0","0","0","0.0"
"Max McCue                                3","F","UFA","CBJ","24","$0.0","0","0","0.0"
"Luca Pinelli                                A","F","ENT","CBJ","22","$0.0","3","0","0.0"
"Guillaume Richard                                3","D","UFA","CBJ","24","$0.0","0","0","0.0"
"Owen Sillinger                                3","F","UFA","CBJ","29","$0.0","0","0","0.0"
"Luke Tuch                                3","F","UFA","CBJ","25","$0.0","0","0","0.0"
"Jack Williams                                3","F","UFA","CBJ","25","$0.0","0","0","0.0"
"Alessandro Di Iorio                                A","F","ENT","CBJ","19","$0.0","0","0","0.0"
"Owen Griffin                                A","F","ENT","CBJ","20","$0.0","0","0","0.0"
"Filip Novak                                A","F","ENT","CBJ","19","$0.0","0","0","0.0"
"Parker Snell                                A","G","ENT","CBJ","19","$0.0","0","0","0.0"
"Luke Ashton                                A","D","ENT","CBJ","22","$0.0","0","0","0.0"
"James Fisher                                A","F","ENT","CBJ","23","$0.0","0","0","0.0"
"Oscar Hemming                                A","F","ENT","CBJ","19","$0.0","0","0","0.0"
"Tanner Henricks                                A","D","ENT","CBJ","21","$0.0","0","0","0.0"
"Evan Jardine                                A","F","ENT","CBJ","19","$0.0","0","0","0.0"
"Cayden Lindstrom                                A","F","JHN","CBJ","21","$0.8","0","0","0.0"
"Jeremy Loranger                                A","F","ENT","CBJ","20","$0.0","0","0","0.0"
"Jackson Smith                                A","D","ENT","CBJ","20","$0.0","0","0","0.0"
"Melvin Strahl                                A","G","ENT","CBJ","22","$0.0","0","0","0.0"
"Andrew Strathmann                                A","D","ENT","CBJ","22","$0.0","0","0","0.0"
"William Whitelaw                                A","F","ENT","CBJ","22","$0.0","0","0","0.0"
"Jonas Woo                                A","D","ENT","CBJ","20","$0.0","0","0","0.0"
"Pyotr Andreyanov                                A","G","ENT","CBJ","20","$0.0","0","0","0.0"
"Kirill Dolzhenkov                                A","F","ENT","CBJ","23","$0.0","0","0","0.0"
"Victor Hedin Raftheim                                A","D","ENT","CBJ","20","$0.0","0","0","0.0"
"Sergei Ivanov                                A","G","BOT","CBJ","23","$0.5","0","0","0.0"
"Nikolai Makarov                                3","D","UFA","CBJ","24","$0.0","0","0","0.0"
"Anttoni Uronen                                A","F","ENT","CBJ","19","$0.0","0","0","0.0"
"Malte Vass                                A","D","ENT","CBJ","20","$0.0","0","0","0.0"
"Jack Anderson                                3","D","UFA","DAL","24","$0.0","0","0","0.0"
"Tristan Bertucci                                A","D","ENT","DAL","22","$0.0","0","0","0.0"
"Kyle Burroughs                                3","D","UFA","DAL","32","$0.0","0","0","0.0"
"Justin Ertel                                3","F","UFA","DAL","24","$0.0","0","0","0.0"
"Christian Fitzgerald                                3","F","UFA","DAL","25","$0.0","0","0","0.0"
"Jaxon Fuder                                A","F","ENT","DAL","21","$0.0","0","0","0.0"
"Brandon Halverson                                3","G","UFA","DAL","31","$0.0","2","0","0.0"
"Emil Hemming                                A","F","ENT","DAL","21","$0.0","0","0","0.0"
"Dylan Hryckowian                                A","F","ENT","DAL","23","$0.0","0","0","0.0"
"Luke Krys                                3","D","UFA","DAL","26","$0.0","0","0","0.0"
"Angus MacDonell                                A","F","ENT","DAL","22","$0.0","0","0","0.0"
"Ayrton Martino                                3","F","UFA","DAL","24","$0.0","0","0","0.0"
"Aram Minnetian                                A","D","ENT","DAL","22","$0.0","0","0","0.0"
"Niilopekka Muhonen                                A","D","ENT","DAL","21","$0.0","0","0","0.0"
"Charlie Paquette                                A","F","ENT","DAL","21","$0.0","0","0","0.0"
"Remi Poirier                                3","G","UFA","DAL","25","$0.0","0","0","0.0"
"Connor Punnett                                3","D","UFA","DAL","24","$0.0","0","0","0.0"
"Harrison Scott                                3","F","UFA","DAL","26","$0.0","0","0","0.0"
"Matthew Seminoff                                A","F","ENT","DAL","23","$0.0","0","0","0.0"
"Artem Shlaine                                3","F","UFA","DAL","25","$0.0","0","0","0.0"
"Trey Taylor                                3","D","UFA","DAL","25","$0.0","0","0","0.0"
"Arno Tiefensee                                3","G","UFA","DAL","25","$0.0","0","0","0.0"
"Mikhail Cherepanov                                A","D","ENT","DAL","19","$0.0","0","0","0.0"
"Cameron Schmidt                                A","F","ENT","DAL","20","$0.0","0","0","0.0"
"Dawson Sharkey                                A","F","ENT","DAL","21","$0.0","0","0","0.0"
"Jakub Vanecek                                A","D","ENT","DAL","19","$0.0","0","0","0.0"
"Sebastian Bradshaw                                A","F","ENT","DAL","22","$0.0","0","0","0.0"
"Ryan Brown                                A","F","ENT","DAL","19","$0.0","0","0","0.0"
"George Fegaras                                A","D","ENT","DAL","23","$0.0","0","0","0.0"
"Brandon Gorzynski                                A","F","ENT","DAL","20","$0.0","0","0","0.0"
"Jasper Kuhta                                A","F","ENT","DAL","20","$0.0","0","0","0.0"
"William Samuelsson                                A","F","ENT","DAL","21","$0.0","0","0","0.0"
"Mans Goos                                A","G","ENT","DAL","20","$0.0","0","0","0.0"
"Atte Joki                                A","F","ENT","DAL","20","$0.0","0","0","0.0"
"Maxim Mayorov                                A","G","ENT","DAL","23","$0.0","0","0","0.0"
"Anton Emil Wilde Larsen                                A","G","ENT","DAL","19","$0.0","0","0","0.0"
"Ronnie Attard                                3","D","UFA","DET","28","$0.5","0","0","0.0"
"Trey Augustine                                A","G","JHN","DET","22","$0.5","0","0","0.0"
"Carter Bear                                A","F","SRL","DET","20","$0.5","0","0","0.0"
"Ondrej Becher                                A","F","ENT","DET","23","$0.0","0","0","0.0"
"Shai Buium                                3","D","UFA","DET","24","$0.0","0","0","0.0"
"Cameron Butler                                3","F","UFA","DET","25","$0.0","0","0","0.0"
"Noah Dower Nilsson                                A","F","ENT","DET","22","$0.0","0","0","0.0"
"Sheldon Dries                                3","F","UFA","DET","33","$0.0","5","0","0.0"
"Carter Gylander                                3","G","UFA","DET","26","$0.0","0","0","0.0"
"Dylan James                                A","F","ENT","DET","23","$0.0","0","0","0.0"
"Anton Johansson                                A","D","ENT","DET","23","$0.0","0","0","0.0"
"William Lagesson                                3","D","UFA","DET","31","$0.0","0","0","0.0"
"Carter Mazur                                3","F","UFA","DET","25","$0.0","8","0","0.0"
"Sutter Muzzatti                                3","F","UFA","DET","24","$0.0","0","0","0.0"
"Michal Postava                                3","G","UFA","DET","25","$0.0","0","0","0.0"
"Theo Rochette                                3","F","UFA","DET","25","$0.0","0","0","0.0"
"Chase Stillman                                3","F","UFA","DET","24","$0.0","0","0","0.0"
"William Wallinder                                3","D","UFA","DET","25","$0.0","0","0","0.0"
"Eemil Viro                                3","D","UFA","DET","25","$0.0","0","0","0.0"
"Myles Brosnan                                A","D","ENT","DET","19","$0.0","0","0","0.0"
"Adam Levac                                A","F","ENT","DET","19","$0.0","0","0","0.0"
"Will Murphy                                A","D","ENT","DET","20","$0.0","0","0","0.0"
"Michal Orsulak                                A","G","ENT","DET","20","$0.0","0","0","0.0"
"Michal Svrcek                                A","F","ENT","DET","20","$0.0","0","0","0.0"
"Brennan Ali                                A","F","ENT","DET","23","$0.0","0","0","0.0"
"Austin Baker                                A","F","ENT","DET","21","$0.0","0","0","0.0"
"Brady Cleveland                                A","D","ENT","DET","22","$0.0","0","0","0.0"
"Beckham Edwards                                A","F","ENT","DET","19","$0.0","0","0","0.0"
"Rudy Guimond                                A","G","ENT","DET","22","$0.0","0","0","0.0"
"JP Hurlbert                                A","F","ENT","DET","19","$0.0","0","0","0.0"
"Larry Keenan                                A","D","ENT","DET","22","$0.0","0","0","0.0"
"Owen Mehlenbacher                                A","F","ENT","DET","23","$0.0","0","0","0.0"
"Jack Phelan                                A","D","ENT","DET","23","$0.0","0","0","0.0"
"Max Plante                                A","F","ENT","DET","21","$0.0","0","0","0.0"
"Victor Plante                                A","F","ENT","DET","19","$0.0","0","0","0.0"
"Michal Pradel                                A","G","ENT","DET","20","$0.0","0","0","0.0"
"Grayden Robertson-Palmer                                A","F","ENT","DET","20","$0.0","0","0","0.0"
"Fisher Scott                                A","D","ENT","DET","22","$0.0","0","0","0.0"
"Brent Solomon                                A","F","ENT","DET","20","$0.0","0","0","0.0"
"John Whipple                                A","D","ENT","DET","21","$0.0","0","0","0.0"
"Luka Arkko                                A","F","ENT","DET","19","$0.0","0","0","0.0"
"Kevin Bicker                                A","F","ENT","DET","22","$0.0","0","0","0.0"
"Charlie Forslund                                A","F","ENT","DET","21","$0.0","0","0","0.0"
"Eddie Genborg                                A","F","ENT","DET","20","$0.0","0","0","0.0"
"Jesse Kiiskinen                                A","F","ENT","DET","22","$0.0","0","0","0.0"
"Nikita Tyurin                                A","D","ENT","DET","20","$0.0","0","0","0.0"
"Devon Levi                                C","G","SHF","EDM","25","$0.5","0","0","0.0"
"Beau Akey                                A","D","ENT","EDM","22","$0.0","0","0","0.0"
"Joshua Brown                                3","D","UFA","EDM","33","$0.0","0","0","0.0"
"Damien Carfagna                                3","D","UFA","EDM","24","$0.0","0","0","0.0"
"Tomas Cibulka                                A","D","ENT","EDM","23","$0.0","0","0","0.0"
"Nathaniel Day                                A","G","ENT","EDM","22","$0.0","0","0","0.0"
"Samuel Jonsson                                A","G","ENT","EDM","23","$0.0","0","0","0.0"
"Atro Leppanen                                3","D","UFA","EDM","28","$0.0","0","0","0.0"
"Viljami Marjala                                3","F","UFA","EDM","24","$0.0","0","0","0.0"
"Owen Michaels                                3","F","UFA","EDM","25","$0.0","0","0","0.0"
"William Nicholl                                A","F","ENT","EDM","21","$0.0","0","0","0.0"
"Aku Raty                                3","F","UFA","EDM","26","$0.0","0","0","0.0"
"James Stefan                                3","F","UFA","EDM","24","$0.0","0","0","0.0"
"Riley Stillman                                3","D","UFA","EDM","29","$0.0","4","0","0.0"
"Brady Stonehouse                                A","F","ENT","EDM","23","$0.0","0","0","0.0"
"Matt Tomkins                                3","G","UFA","EDM","33","$0.0","0","0","0.0"
"Eduards Tralmaks                                3","F","UFA","EDM","30","$0.0","0","0","0.0"
"Connor Ungar                                3","G","UFA","EDM","25","$0.0","0","0","0.0"
"Eemil Vinni                                A","G","ENT","EDM","21","$0.0","0","0","0.0"
"Roby Jarventie                                3","F","UFA","EDM","25","$0.0","3","0","0.0"
"Rudolfs Berzkalns                                A","F","ENT","EDM","19","$0.0","0","0","0.0"
"Ryan Cameron                                A","G","ENT","EDM","20","$0.0","0","0","0.0"
"Caden Harvey                                A","F","ENT","EDM","19","$0.0","0","0","0.0"
"David Lewandowski                                A","F","ENT","EDM","20","$0.0","0","0","0.0"
"Andrew Robinson                                A","D","ENT","EDM","19","$0.0","0","0","0.0"
"Asher Barnett                                A","D","ENT","EDM","20","$0.0","0","0","0.0"
"Bauer Berry                                A","D","ENT","EDM","21","$0.0","0","0","0.0"
"Paul Fischer                                A","D","ENT","EDM","22","$0.0","0","0","0.0"
"Tommy Lafreniere                                A","F","ENT","EDM","20","$0.0","0","0","0.0"
"Aidan Park                                A","F","ENT","EDM","21","$0.0","0","0","0.0"
"Zachary Sharp                                A","D","ENT","EDM","22","$0.0","0","0","0.0"
"Dalyn Wakely                                A","F","ENT","EDM","23","$0.0","0","0","0.0"
"Maksim Berezkin                                3","F","UFA","EDM","25","$0.0","0","0","0.0"
"Maxim Denezhkin                                3","F","UFA","EDM","26","$0.0","0","0","0.0"
"Malcom Gastrin                                A","F","ENT","EDM","19","$0.0","0","0","0.0"
"Daniel Salonen                                A","G","ENT","EDM","21","$0.0","0","0","0.0"
"Nikita Yevseyev                                A","D","ENT","EDM","23","$0.0","0","0","0.0"
"Aleksander Barkov                                3","F","VPP","FLA","32","$5.5","0","0","0.0"
"Dmitry Kulikov                                3","D","UFA","FLA","36","$0.0","19","0","0.0"
"Cooper Black                                3","G","UFA","FLA","26","$0.0","0","0","0.0"
"Jack Devine                                A","F","ENT","FLA","23","$0.0","6","0","0.0"
"MacKenzie Entwistle                                3","F","UFA","FLA","28","$0.0","0","0","0.0"
"Casey Fitzgerald                                3","D","UFA","FLA","30","$0.0","0","0","0.0"
"Kirill Gerasimyuk                                3","G","UFA","FLA","24","$0.0","0","0","0.0"
"Bokondji Imama                                3","F","UFA","FLA","31","$0.0","2","0","0.0"
"Tyler Muszelik                                A","G","ENT","FLA","23","$0.0","0","0","0.0"
"Alexander Petrovic                                3","D","UFA","FLA","35","$0.0","0","0","0.0"
"Emil Pieniniemi                                A","D","ENT","FLA","22","$0.0","0","0","0.0"
"Gracyn Sawchyn                                A","F","ENT","FLA","22","$0.0","0","0","0.0"
"Kai Schwindt                                A","F","ENT","FLA","23","$0.0","0","0","0.0"
"Matvei Shuravin                                A","D","ENT","FLA","21","$0.0","0","0","0.0"
"Hunter St. Martin                                A","F","ENT","FLA","22","$0.0","0","0","0.0"
"Louis-Antoine Denault                                A","G","ENT","FLA","20","$0.0","0","0","0.0"
"Arvid Drott                                A","F","ENT","FLA","20","$0.0","0","0","0.0"
"Jonas Kemps                                A","D","ENT","FLA","19","$0.0","0","0","0.0"
"Shamar Moses                                A","F","ENT","FLA","20","$0.0","0","0","0.0"
"Cole Zurawski                                A","F","ENT","FLA","19","$0.0","0","0","0.0"
"Shea Busch                                A","F","ENT","FLA","20","$0.0","0","0","0.0"
"Ryder Cali                                A","F","ENT","FLA","19","$0.0","0","0","0.0"
"Luke Coughlin                                A","D","ENT","FLA","22","$0.0","0","0","0.0"
"Brendan Dunphy                                A","D","ENT","FLA","21","$0.0","0","0","0.0"
"Vladislav Lukashevich                                3","D","UFA","FLA","24","$0.0","0","0","0.0"
"Linus Eriksson                                A","F","ENT","FLA","21","$0.0","0","0","0.0"
"Denis Gabdrakhmanov                                A","G","ENT","FLA","22","$0.0","0","0","0.0"
"Olof Glifford                                A","G","ENT","FLA","22","$0.0","0","0","0.0"
"Stepan Gorbunov                                A","F","ENT","FLA","21","$0.0","0","0","0.0"
"Simas Ignatavicius                                A","F","ENT","FLA","19","$0.0","0","0","0.0"
"Mads Kongsbak Klyvo                                A","F","ENT","FLA","20","$0.0","0","0","0.0"
"Yegor Midlak                                A","G","ENT","FLA","20","$0.0","0","0","0.0"
"Vilho Vanhatalo                                A","F","ENT","FLA","19","$0.0","0","0","0.0"
"Albert Wikman                                A","D","ENT","FLA","22","$0.0","0","0","0.0"
"Simon Zether                                A","F","ENT","FLA","21","$0.0","0","0","0.0"
"Stepan Zvyagin                                A","F","ENT","FLA","23","$0.0","0","0","0.0"
"Erik Gustafsson                                3","D","UFA","LAK","35","$0.8","2","0","0.0"
"Martin Chromiak                                3","F","UFA","LAK","25","$0.0","0","0","0.0"
"Kenny Connors                                3","F","UFA","LAK","24","$0.0","2","0","0.0"
"Jakub Dvorak                                A","D","ENT","LAK","22","$0.0","0","0","0.0"
"Carter George                                A","G","BOT","LAK","21","$0.5","0","0","0.0"
"Cole Guttman                                3","F","UFA","LAK","28","$0.0","0","0","0.0"
"Joe Hicketts                                3","D","UFA","LAK","31","$0.0","0","0","0.0"
"Aatu Jamsen                                3","F","UFA","LAK","25","$0.0","0","0","0.0"
"Jan Jenik                                3","F","UFA","LAK","27","$0.5","0","0","0.0"
"Kirill Kirsanov                                3","D","UFA","LAK","24","$0.0","0","0","0.0"
"Kaleb Lawrence                                3","F","UFA","LAK","24","$0.0","0","0","0.0"
"Lane Pederson                                3","F","UFA","LAK","30","$0.0","5","0","0.0"
"Scott Perunovich                                2","D","LPT","LAK","29","$0.6","0","0","0.0"
"Francesco Pinelli                                3","F","UFA","LAK","24","$0.0","0","0","0.0"
"Erik Portillo                                3","G","UFA","LAK","27","$0.0","0","0","0.0"
"Otto Salin                                A","D","ENT","LAK","23","$0.0","0","0","0.0"
"Grant Slukynsky                                3","F","UFA","LAK","25","$0.0","0","0","0.0"
"Hampton Slukynsky                                A","G","BOT","LAK","22","$0.5","0","0","0.0"
"Jared Woolley                                A","D","ENT","LAK","21","$0.0","0","0","0.0"
"Koehn Ziemmer                                A","F","ENT","LAK","22","$0.0","0","0","0.0"
"Lucas Ambrosio                                A","D","ENT","LAK","19","$0.0","0","0","0.0"
"Henry Brzustewicz                                A","D","ENT","LAK","20","$0.0","0","0","0.0"
"Vojtech Cihar                                A","F","ENT","LAK","20","$0.0","0","0","0.0"
"Adam Goljer                                A","D","ENT","LAK","19","$0.0","0","0","0.0"
"Tobias Krestan                                A","F","ENT","LAK","19","$0.0","0","0","0.0"
"Liam Lefebvre                                A","F","ENT","LAK","20","$0.0","0","0","0.0"
"Jimmy Lombardi                                A","F","ENT","LAK","20","$0.0","0","0","0.0"
"Giorgos Pantelas                                A","D","ENT","LAK","19","$0.0","0","0","0.0"
"William Sharpe                                A","D","ENT","LAK","20","$0.0","0","0","0.0"
"Ryan Conmy                                A","F","ENT","LAK","22","$0.0","0","0","0.0"
"Braden Doyle                                3","D","UFA","LAK","26","$0.0","0","0","0.0"
"Kristian Epperson                                A","F","ENT","LAK","21","$0.0","0","0","0.0"
"Caeden Herrington                                A","D","ENT","LAK","21","$0.0","0","0","0.0"
"Alex Kostov                                A","F","ENT","LAK","21","$0.0","0","0","0.0"
"Brendan McMorrow                                A","F","ENT","LAK","21","$0.0","0","0","0.0"
"James Reeder                                A","F","ENT","LAK","21","$0.0","0","0","0.0"
"Jack Sparkes                                A","D","ENT","LAK","23","$0.0","0","0","0.0"
"Thomas Vandenberg                                A","F","ENT","LAK","19","$0.0","0","0","0.0"
"Blake Zielinski                                A","F","ENT","LAK","19","$0.0","0","0","0.0"
"Jan Chovan                                A","F","ENT","LAK","20","$0.0","0","0","0.0"
"Elton Hermansson                                A","F","ENT","LAK","19","$0.0","0","0","0.0"
"Petteri Rimpinen                                A","G","ENT","LAK","21","$0.0","0","0","0.0"
"Yegor Rybkin                                A","G","ENT","LAK","19","$0.0","0","0","0.0"
"Bulat Shafigullin                                3","F","UFA","LAK","27","$0.0","0","0","0.0"
"Vertti Svensk                                A","D","ENT","LAK","19","$0.0","0","0","0.0"
"Maxim Shabanov                                3","F","SHF","MIN","26","$0.5","0","0","0.0"
"Caedan Bankier                                3","F","UFA","MIN","24","$0.0","0","0","0.0"
"Ben Dexheimer                                3","D","UFA","MIN","25","$0.0","0","0","0.0"
"Dylan Gambrell                                3","F","UFA","MIN","31","$0.0","0","0","0.0"
"Viking Gustafsson Nyberg                                A","D","ENT","MIN","23","$0.0","0","0","0.0"
"Riley Heidt                                A","F","JHN","MIN","22","$0.5","0","0","0.0"
"Jagger Joshua                                3","F","UFA","MIN","28","$0.0","0","0","0.0"
"Rasmus Kumpulainen                                A","F","ENT","MIN","22","$0.0","0","0","0.0"
"Carson Lambos                                3","D","UFA","MIN","24","$0.0","1","0","0.0"
"Stevie Leskovar                                A","D","ENT","MIN","23","$0.0","0","0","0.0"
"Rieger Lorenz                                A","F","ENT","MIN","23","$0.0","0","0","0.0"
"Riley Mercer                                A","G","ENT","MIN","23","$0.0","0","0","0.0"
"Jack Peart                                3","D","UFA","MIN","24","$0.0","0","0","0.0"
"Roman Schmidt                                3","D","UFA","MIN","24","$0.0","0","0","0.0"
"Mason Shaw                                3","F","UFA","MIN","28","$0.0","0","0","0.0"
"David Spacek                                3","D","UFA","MIN","24","$0.0","2","0","0.0"
"Charlie Stramel                                A","F","ENT","MIN","22","$0.0","0","0","0.0"
"Chase Wutzke                                A","G","ENT","MIN","21","$0.0","0","0","0.0"
"Kayden Lemire                                A","F","ENT","MIN","19","$0.0","0","0","0.0"
"Filip Ruzicka                                A","G","ENT","MIN","19","$0.0","0","0","0.0"
"Lirim Amidovski                                A","F","ENT","MIN","20","$0.0","0","0","0.0"
"Adam Benak                                A","F","ENT","MIN","20","$0.0","0","0","0.0"
"Nate Benoit                                3","D","UFA","MIN","24","$0.0","0","0","0.0"
"Jimmy Clark                                A","F","ENT","MIN","22","$0.0","0","0","0.0"
"Justin Kipkie                                A","D","ENT","MIN","22","$0.0","0","0","0.0"
"Carter Klippenstein                                A","F","ENT","MIN","20","$0.0","0","0","0.0"
"Aaron Pionk                                3","D","UFA","MIN","24","$0.0","0","0","0.0"
"Ryder Ritchie                                A","F","ENT","MIN","21","$0.0","0","0","0.0"
"Adam Andersson                                A","F","ENT","MIN","19","$0.0","0","0","0.0"
"Matvey Guskov                                3","F","UFA","MIN","26","$0.0","0","0","0.0"
"Theodor Hallquisth                                A","D","ENT","MIN","20","$0.0","0","0","0.0"
"Aron Kiviharju                                A","D","ENT","MIN","21","$0.0","0","0","0.0"
"Sebastian Soini                                A","D","ENT","MIN","21","$0.0","0","0","0.0"
"Alex Belzile                                3","F","UFA","MTL","36","$0.0","0","0","0.0"
"Brett Berard                                3","F","UFA","MTL","25","$0.0","13","0","0.0"
"Lucas Condotta                                3","F","UFA","MTL","29","$0.0","0","0","0.0"
"Kaapo Kahkonen                                3","G","UFA","MTL","31","$0.5","0","0","0.0"
"Hunter McKown                                3","F","UFA","MTL","25","$0.0","0","0","0.0"
"Filip Mesar                                A","F","ENT","MTL","23","$0.0","0","0","0.0"
"Luke Mittelstadt                                3","D","UFA","MTL","24","$0.0","0","0","0.0"
"Sasha Pastujov                                3","F","UFA","MTL","24","$0.0","0","0","0.0"
"Bryce Pickford                                A","D","ENT","MTL","21","$0.0","0","0","0.0"
"Sam Poulin                                3","F","UFA","MTL","26","$0.5","2","0","0.0"
"Owen Protz                                A","D","ENT","MTL","21","$0.0","0","0","0.0"
"Ethan Samson                                3","D","UFA","MTL","24","$0.0","0","0","0.0"
"Maksymilian Szuber                                3","D","UFA","MTL","25","$0.0","0","0","0.0"
"Tyler Thorpe                                A","F","ENT","MTL","22","$0.0","0","0","0.0"
"Reilly Walsh                                3","D","UFA","MTL","28","$0.0","0","0","0.0"
"Jean-Samuel Daigneault                                A","D","ENT","MTL","19","$0.0","0","0","0.0"
"Tyler Deakos                                A","F","ENT","MTL","20","$0.0","0","0","0.0"
"Brayden Klimpke                                A","D","ENT","MTL","19","$0.0","0","0","0.0"
"Andrew MacNiel                                A","D","ENT","MTL","20","$0.0","0","0","0.0"
"Arseni Radkov                                A","G","ENT","MTL","20","$0.0","0","0","0.0"
"Wesley Royston                                A","F","ENT","MTL","19","$0.0","0","0","0.0"
"Parker Trottier                                A","F","ENT","MTL","19","$0.0","0","0","0.0"
"Mikus Vecvanags                                A","G","ENT","MTL","21","$0.0","0","0","0.0"
"Cooper Cleaves                                A","D","ENT","MTL","21","$0.0","0","0","0.0"
"Alexis Cournoyer                                A","G","ENT","MTL","21","$0.0","0","0","0.0"
